,node,embedding
0,2813,"[34.52495971 20.29217464 -1.19781843 -1.27102972  0.24757932  5.51319275
  8.30942915 -0.31735938  0.07347928 -0.82039124 -3.25581031  0.66213657
  1.02068968 -1.34597552  4.63298153 -2.54584723  4.1972821   1.7242714
 -1.00582334  0.09100365 -1.67866492 -0.23003303 -1.26725304 -0.89339436
 -1.65874865 -2.89191201  4.1753149   5.06999327  1.75519327  2.36026489
 -1.14814267 -2.87036536]"
1,3146,"[30.56346361 13.21794906 -0.91152308 -2.34026345  0.46793984 -0.43530602
  1.98634717  5.57356534 -1.6636108  -3.10761524 -3.97583561 -1.93860748
  2.03788916  2.29023614 -3.31353339 -1.11894974 -2.88612833  1.09847028
 -1.51619561  4.12854886 -1.92343563  3.30938828 -1.86901118  0.27284412
  1.26572455  1.27627762  2.44749129  0.24268553  0.37902328  0.08388503
 -1.59970677  2.72013523]"
2,3229,"[14.62699799 -1.50209341 -2.83568773 -3.72766208  0.21544366  0.44060241
 -1.8947874   2.5536685   0.41371342 -1.6896533  -0.19327974 -1.32197779
  1.81188746 -0.3588722   0.32230181  1.51856053  0.83424233 -0.22034835
  0.67998515  0.41525361 -0.45210744  0.90088386 -0.46064531  1.5172061
 -0.73370596  0.437851   -0.19678004  0.02946641  1.21240018  0.09166359
  0.63075472  0.3582592 ]"
3,3885,"[ 1.48683810e+01 -1.16899183e+00 -5.00914364e+00 -2.92768753e+00
 -6.35385125e-01 -9.58498558e-01 -1.39134113e+00  2.63109984e+00
 -1.93260441e-03 -3.33754904e+00 -1.67361572e-01  7.33623622e-02
  1.84697854e+00 -7.11503858e-01 -2.84863854e-02 -1.67140823e+00
 -1.19343440e+00 -8.72145337e-01 -5.79911115e-01  1.04541433e+00
  1.20572910e+00 -9.08260836e-01  5.24369935e-01 -8.63070065e-01
 -1.91132155e+00  1.04541210e+00  1.24314567e+00  2.82532540e-01
 -5.32128689e-01  2.07616724e-02 -8.84526316e-01 -6.55091657e-01]"
4,4379,"[ 1.31829314e+01 -2.36827821e+00 -1.86023949e-01 -1.98454978e+00
  1.40847038e-01 -3.57869415e+00  7.22119051e-01  1.11044253e+00
  9.76685237e-01 -1.10934481e+00 -2.42273549e-04  4.62283647e-01
  4.06834369e-01 -4.53530564e-01  6.07102234e-01 -1.36102737e+00
  6.26154673e-02  4.35517084e-01  1.59464300e+00  2.14651189e-01
  1.67091942e+00  2.34630553e-02  1.36483477e+00 -9.12076229e-01
 -1.94961411e+00  5.18249456e-01 -3.57777883e-01 -7.82560130e-01
  5.22704836e-02  3.21796479e-01  5.98694079e-01 -1.02102229e+00]"
5,4390,"[12.57097135 -2.85040099  0.10257076 -2.64413414  1.92013938  0.14593513
 -0.91449328 -0.56726604  0.57002793  1.0018252   0.12160981  1.63471017
  1.73735092 -1.1632252   0.60912841 -0.15873398 -0.17151825  0.36501829
  1.32054709  0.38474355  0.34596068  0.66474485 -0.26596046  0.14513183
 -0.11028406  1.14828797 -0.50366689  0.9217644   0.66397089 -0.73651289
 -0.46952331  0.32739948]"
6,5250,"[ 1.32586266e+01 -2.17669530e+00 -4.11026734e+00 -3.63597467e+00
  1.77358324e+00  2.17173445e-01 -6.38316810e-01  9.32336603e-03
 -1.63094368e-01 -2.03152682e+00  4.51434999e-01 -2.87681256e+00
  1.63402982e+00 -3.42747459e-01  5.33810463e-01 -2.14866967e-01
  8.41139390e-02  2.15697667e-01  2.69966525e-01  1.00651231e+00
  1.56716061e+00 -5.52640351e-01 -1.44029965e-01 -1.61039323e+00
 -1.21218869e+00  5.36056023e-01  3.54257628e-01 -6.10022776e-01
  4.04432889e-01 -1.88341505e-01  1.11489578e+00  5.98156354e-01]"
7,5456,"[15.74831483 -0.40138026 -0.38477967 -4.45608566  1.52928235  2.43733211
 -2.98867779  3.93016864  0.18718647 -1.29283632 -0.47377442 -1.0713253
  2.27900553  0.48121054 -0.17491735 -0.26015856  0.13417832 -0.84920502
 -1.39574838  1.38616556  0.06126932  0.69477452 -1.28563811 -0.34546061
 -2.13586587  1.02697157 -0.97061629 -0.34234167  0.4234584   0.48007535
  0.48952025  1.09188356]"
8,6187,"[ 3.71001428e+01  2.48697061e+01  1.83519307e+00 -3.40568254e-01
 -2.68251912e-02  7.18540914e+00  1.20999634e+01  1.14973044e+00
 -4.70837690e+00 -1.40665000e-01 -6.81474788e-01 -3.15427622e-02
 -1.09283984e+00 -2.69487134e+00  6.33999555e+00 -2.08145966e+00
  2.46713033e+00  3.24396897e+00 -3.56387976e-01  3.61258804e-01
  2.66609719e+00  6.06411163e-01  4.50188818e-01  3.24936844e+00
  3.00954295e+00 -2.09399630e+00  1.80481429e+00 -3.05053771e+00
  3.72760314e+00  5.35227077e+00  3.60961078e-01 -4.83820373e+00]"
9,392,"[ 1.3922592  -1.40481718 -0.0227988  -0.30329615  0.78862527  0.75583813
  0.85648331 -0.00740285  0.16054324 -0.111083    0.17495413 -0.23046881
  0.18929031 -0.31812875 -0.66793978 -0.20594513 -0.67531476  0.08632603
  0.10996436 -0.09255862 -0.01508409  0.27894739 -0.29696123 -0.19744628
 -0.06526489 -0.24540449 -0.2243544  -0.40819916 -0.16679844 -0.33239741
 -0.19491286 -0.27991807]"
